order_id,user_id,order_dow,order_hour_of_day,days_since_prior_order,product_id,product_name,department,aisle,add_to_cart_order,reordered
1364,61,4,5,11,158,Eggs,Dairy,Eggs,7,1
1545,128,0,19,20,234,Whole Milk,Dairy,Milk,7,0
1018,102,2,14,2,188,Potato Chips,Snacks,Chips,8,0
1433,89,1,7,17,224,Banana,Produce,Fresh Fruits,7,0
1831,49,1,10,16,286,Greek Yogurt,Dairy,Yogurt,10,1
1771,137,0,10,26,269,Orange Juice,Beverages,Juice,7,0
1988,49,3,14,20,256,Apples,Produce,Fresh Fruits,9,0
1866,126,6,21,17,221,Chicken Breast,Meat,Poultry,6,0
1268,38,6,16,12,102,Whole Milk,Dairy,Milk,5,0
1671,55,6,22,8,113,Potato Chips,Snacks,Chips,1,0
1906,69,0,16,5,249,Pasta,Pantry,Dry Goods,2,1
1243,149,6,14,19,298,Apples,Produce,Fresh Fruits,4,0
1909,14,0,0,24,169,Butter,Dairy,Butter,7,1
1968,71,4,10,9,214,Organic Avocado,Produce,Fresh Fruits,1,1
1334,63,2,17,24,243,Banana,Produce,Fresh Fruits,5,1
1655,137,2,6,24,231,Onions,Produce,Vegetables,3,0
1619,69,3,16,28,222,Chicken Breast,Meat,Poultry,10,0
1520,2,3,0,6,193,Apples,Produce,Fresh Fruits,4,1
1560,79,6,10,5,101,Organic Avocado,Produce,Fresh Fruits,2,1
1845,76,4,10,1,171,Cheddar Cheese,Dairy,Cheese,5,1
1606,96,3,15,26,100,Cheddar Cheese,Dairy,Cheese,10,1
1696,118,2,22,13,147,Tomatoes,Produce,Vegetables,8,1
1831,125,3,2,13,186,Cheddar Cheese,Dairy,Cheese,10,0
1825,150,2,8,25,279,Chicken Breast,Meat,Poultry,4,0
1708,146,3,5,17,260,Butter,Dairy,Butter,1,0
1952,99,0,11,6,193,Cheddar Cheese,Dairy,Cheese,8,0
1401,66,4,5,11,186,Chicken Breast,Meat,Poultry,3,1
1467,105,4,23,19,156,Brown Bread,Bakery,Bread,6,0
1091,93,1,12,9,245,Banana,Produce,Fresh Fruits,8,1
1319,112,1,16,25,183,Potato Chips,Snacks,Chips,7,0
1668,110,1,23,25,253,Apples,Produce,Fresh Fruits,1,0
1232,7,6,13,6,271,Banana,Produce,Fresh Fruits,4,1
1643,130,3,19,15,136,Apples,Produce,Fresh Fruits,2,1
1098,3,5,4,8,295,Apples,Produce,Fresh Fruits,5,0
1853,30,1,13,26,121,Organic Avocado,Produce,Fresh Fruits,5,1
1022,109,4,9,12,141,Butter,Dairy,Butter,6,1
1910,18,0,12,28,153,Eggs,Dairy,Eggs,1,0
1789,45,5,2,19,172,Eggs,Dairy,Eggs,10,1
1256,132,2,18,9,265,Cheddar Cheese,Dairy,Cheese,4,0
1967,70,4,13,7,293,Whole Milk,Dairy,Milk,10,1
1836,1,5,14,26,103,Banana,Produce,Fresh Fruits,4,0
1035,111,6,5,6,251,Apples,Produce,Fresh Fruits,4,1
1495,59,2,10,10,130,Butter,Dairy,Butter,7,0
1074,106,2,9,28,256,Cheddar Cheese,Dairy,Cheese,10,0
1539,67,6,16,30,225,Greek Yogurt,Dairy,Yogurt,4,1
1249,148,6,11,30,145,Banana,Produce,Fresh Fruits,9,0
1689,142,4,0,8,174,Banana,Produce,Fresh Fruits,8,1
1633,52,1,7,23,158,Greek Yogurt,Dairy,Yogurt,7,0
1256,27,6,15,24,144,Cheddar Cheese,Dairy,Cheese,6,1
1092,20,2,12,4,270,Brown Bread,Bakery,Bread,8,1
1111,59,4,22,28,252,Pasta,Pantry,Dry Goods,2,1
1311,78,2,23,29,160,Brown Bread,Bakery,Bread,2,1
1461,150,6,22,23,251,Butter,Dairy,Butter,3,0
1924,56,6,18,9,140,Whole Milk,Dairy,Milk,4,0
1593,22,3,11,7,146,Pasta,Pantry,Dry Goods,7,1
1643,75,4,8,24,121,Eggs,Dairy,Eggs,6,1
1710,10,2,20,16,129,Cheddar Cheese,Dairy,Cheese,10,1
1678,101,3,20,17,284,Greek Yogurt,Dairy,Yogurt,6,1
1187,105,6,8,9,151,Banana,Produce,Fresh Fruits,2,1
1344,53,0,4,7,130,Brown Bread,Bakery,Bread,6,1
1027,143,1,21,1,224,Greek Yogurt,Dairy,Yogurt,4,1
1843,20,5,18,12,258,Banana,Produce,Fresh Fruits,10,0
1823,53,6,23,16,121,Eggs,Dairy,Eggs,8,0
1428,134,2,13,4,171,Chicken Breast,Meat,Poultry,10,0
1514,89,1,12,2,203,Onions,Produce,Vegetables,9,0
1064,116,4,20,5,238,Organic Avocado,Produce,Fresh Fruits,8,1
1428,15,3,14,26,245,Brown Bread,Bakery,Bread,5,0
1076,5,4,6,8,215,Butter,Dairy,Butter,1,1
1219,135,6,10,17,195,Butter,Dairy,Butter,2,1
1335,103,5,14,6,177,Tomatoes,Produce,Vegetables,3,0
1817,40,4,22,7,231,Organic Avocado,Produce,Fresh Fruits,9,0
1840,14,1,19,6,251,Chicken Breast,Meat,Poultry,6,1
1820,85,4,3,26,241,Apples,Produce,Fresh Fruits,8,0
1907,12,5,8,17,219,Whole Milk,Dairy,Milk,2,0
1641,128,3,6,22,229,Cheddar Cheese,Dairy,Cheese,6,1
1803,103,1,21,24,110,Eggs,Dairy,Eggs,4,0
1388,103,2,22,11,233,Whole Milk,Dairy,Milk,4,0
1957,51,5,6,7,265,Chicken Breast,Meat,Poultry,7,0
1115,149,0,23,3,114,Organic Avocado,Produce,Fresh Fruits,8,0
1627,79,2,12,7,135,Orange Juice,Beverages,Juice,4,0
1936,55,4,9,24,156,Apples,Produce,Fresh Fruits,5,0
1820,135,2,8,6,223,Apples,Produce,Fresh Fruits,3,0
1281,31,0,0,6,279,Tomatoes,Produce,Vegetables,6,0
1286,54,3,22,18,208,Whole Milk,Dairy,Milk,2,0
1699,143,2,19,22,154,Brown Bread,Bakery,Bread,8,1
1112,133,5,23,23,194,Greek Yogurt,Dairy,Yogurt,5,0
1865,105,3,14,23,219,Greek Yogurt,Dairy,Yogurt,7,0
1059,143,2,1,10,124,Potato Chips,Snacks,Chips,4,0
1614,146,1,7,10,256,Banana,Produce,Fresh Fruits,3,1
1384,98,1,10,9,242,Onions,Produce,Vegetables,10,0
1641,60,1,17,2,118,Cheddar Cheese,Dairy,Cheese,10,0
1982,13,4,23,15,183,Pasta,Pantry,Dry Goods,5,1
1272,91,4,6,17,171,Eggs,Dairy,Eggs,8,1
1027,127,1,1,25,258,Eggs,Dairy,Eggs,9,1
1327,14,3,5,5,283,Orange Juice,Beverages,Juice,10,1
1867,95,3,23,14,291,Chicken Breast,Meat,Poultry,10,1
1801,45,1,6,27,134,Banana,Produce,Fresh Fruits,2,1
1754,58,1,0,15,139,Potato Chips,Snacks,Chips,2,0
1164,55,1,21,28,142,Greek Yogurt,Dairy,Yogurt,9,0
1494,93,6,4,16,290,Banana,Produce,Fresh Fruits,6,1
1764,127,1,15,18,247,Pasta,Pantry,Dry Goods,8,0
1981,99,2,10,7,272,Banana,Produce,Fresh Fruits,5,0
1740,63,2,10,11,112,Cheddar Cheese,Dairy,Cheese,7,0
1911,84,1,9,16,161,Pasta,Pantry,Dry Goods,1,0
1724,111,2,0,5,245,Onions,Produce,Vegetables,6,0
1909,40,0,5,13,146,Whole Milk,Dairy,Milk,7,1
1014,21,0,3,8,261,Apples,Produce,Fresh Fruits,10,0
1877,134,1,20,13,211,Cheddar Cheese,Dairy,Cheese,1,0
1744,19,5,12,6,233,Chicken Breast,Meat,Poultry,6,0
1308,125,2,3,20,289,Tomatoes,Produce,Vegetables,10,1
1948,26,3,11,30,206,Onions,Produce,Vegetables,7,0
1261,7,6,16,15,170,Chicken Breast,Meat,Poultry,3,1
1682,97,4,1,24,254,Apples,Produce,Fresh Fruits,2,0
1550,140,6,17,10,154,Orange Juice,Beverages,Juice,3,1
1863,125,2,3,18,267,Potato Chips,Snacks,Chips,9,0
1137,21,2,11,28,157,Cheddar Cheese,Dairy,Cheese,3,1
1334,114,5,1,24,171,Butter,Dairy,Butter,9,1
1478,16,2,21,11,208,Banana,Produce,Fresh Fruits,1,1
1286,81,2,12,11,203,Tomatoes,Produce,Vegetables,2,0
1148,20,2,2,7,295,Cheddar Cheese,Dairy,Cheese,4,0
1208,5,6,5,9,128,Butter,Dairy,Butter,5,1
1338,138,6,14,2,145,Cheddar Cheese,Dairy,Cheese,10,0
1583,106,1,20,8,245,Pasta,Pantry,Dry Goods,3,1
1494,104,5,21,24,170,Potato Chips,Snacks,Chips,8,1
1179,133,6,5,9,139,Cheddar Cheese,Dairy,Cheese,6,0
1296,138,2,19,27,254,Chicken Breast,Meat,Poultry,4,1
1409,74,3,4,7,232,Eggs,Dairy,Eggs,2,1
1857,145,0,15,16,132,Greek Yogurt,Dairy,Yogurt,4,0
1237,50,1,19,23,251,Brown Bread,Bakery,Bread,10,0
1155,134,0,6,13,194,Eggs,Dairy,Eggs,1,1
1122,148,6,1,25,118,Organic Avocado,Produce,Fresh Fruits,2,1
1237,103,4,9,19,117,Banana,Produce,Fresh Fruits,3,1
1211,148,2,16,2,142,Banana,Produce,Fresh Fruits,9,1
1842,48,5,17,27,115,Whole Milk,Dairy,Milk,2,0
1995,16,2,10,15,183,Chicken Breast,Meat,Poultry,7,1
1484,25,5,15,20,170,Cheddar Cheese,Dairy,Cheese,5,0
1249,5,5,21,22,169,Brown Bread,Bakery,Bread,1,1
1307,29,4,23,3,258,Cheddar Cheese,Dairy,Cheese,2,1
1289,14,5,4,1,232,Banana,Produce,Fresh Fruits,3,1
1334,88,5,3,12,213,Apples,Produce,Fresh Fruits,6,0
1935,81,2,3,6,120,Greek Yogurt,Dairy,Yogurt,2,0
1732,42,6,16,18,182,Tomatoes,Produce,Vegetables,2,0
1053,106,2,2,21,254,Pasta,Pantry,Dry Goods,10,0
1042,97,2,15,5,252,Eggs,Dairy,Eggs,2,1
1854,77,2,19,2,213,Butter,Dairy,Butter,6,0
1119,105,1,21,21,129,Greek Yogurt,Dairy,Yogurt,7,1
1327,31,6,2,16,165,Pasta,Pantry,Dry Goods,7,0
1869,64,3,2,27,286,Chicken Breast,Meat,Poultry,2,0
1282,12,4,12,22,147,Greek Yogurt,Dairy,Yogurt,1,1
1717,78,1,8,29,272,Orange Juice,Beverages,Juice,3,1
1965,90,2,19,16,264,Whole Milk,Dairy,Milk,7,1
1273,131,5,20,20,156,Potato Chips,Snacks,Chips,5,0
1990,129,0,6,15,215,Butter,Dairy,Butter,3,1
1138,79,3,5,18,237,Onions,Produce,Vegetables,5,0
1188,100,1,22,18,187,Brown Bread,Bakery,Bread,8,1
1038,93,6,23,19,217,Brown Bread,Bakery,Bread,8,0
1009,93,1,21,30,293,Brown Bread,Bakery,Bread,7,1
1440,150,1,23,30,124,Apples,Produce,Fresh Fruits,3,0
1236,75,0,4,3,264,Organic Avocado,Produce,Fresh Fruits,5,0
1555,130,6,11,6,176,Banana,Produce,Fresh Fruits,1,1
1368,12,6,16,15,209,Chicken Breast,Meat,Poultry,5,1
1554,3,4,17,23,231,Cheddar Cheese,Dairy,Cheese,6,0
1852,47,3,6,29,168,Brown Bread,Bakery,Bread,7,1
1830,94,2,13,22,160,Chicken Breast,Meat,Poultry,4,1
1499,15,3,8,21,265,Eggs,Dairy,Eggs,8,0
1417,130,1,5,29,250,Cheddar Cheese,Dairy,Cheese,1,0
1605,96,0,5,4,107,Whole Milk,Dairy,Milk,6,0
1204,49,4,4,24,137,Organic Avocado,Produce,Fresh Fruits,4,1
1223,68,5,11,12,188,Eggs,Dairy,Eggs,2,0
1174,138,3,10,11,293,Apples,Produce,Fresh Fruits,2,1
1130,20,3,23,9,208,Chicken Breast,Meat,Poultry,3,1
1369,111,3,16,12,170,Orange Juice,Beverages,Juice,5,1
1466,119,3,5,21,116,Butter,Dairy,Butter,2,0
1254,78,5,5,30,213,Brown Bread,Bakery,Bread,5,0
1615,69,0,16,17,270,Chicken Breast,Meat,Poultry,6,1
1851,46,4,12,5,297,Chicken Breast,Meat,Poultry,5,1
1347,135,4,2,27,255,Organic Avocado,Produce,Fresh Fruits,6,0
1130,139,1,21,11,216,Orange Juice,Beverages,Juice,8,0
1167,82,0,12,1,183,Eggs,Dairy,Eggs,7,0
1804,11,5,13,28,272,Brown Bread,Bakery,Bread,1,1
1928,131,5,18,7,230,Brown Bread,Bakery,Bread,9,0
1324,132,1,7,12,248,Pasta,Pantry,Dry Goods,2,0
1239,20,3,12,19,286,Cheddar Cheese,Dairy,Cheese,8,1
1799,68,5,9,4,236,Whole Milk,Dairy,Milk,8,1
1520,128,6,13,21,254,Potato Chips,Snacks,Chips,3,0
1285,81,1,3,26,277,Orange Juice,Beverages,Juice,5,1
1731,46,4,22,3,264,Butter,Dairy,Butter,10,0
1791,34,3,20,8,239,Cheddar Cheese,Dairy,Cheese,7,1
1559,3,6,7,25,104,Potato Chips,Snacks,Chips,10,0
1547,38,6,20,19,198,Banana,Produce,Fresh Fruits,3,0
1725,56,3,9,9,273,Tomatoes,Produce,Vegetables,4,0
1902,42,2,6,24,155,Apples,Produce,Fresh Fruits,3,1
1131,122,4,18,7,268,Orange Juice,Beverages,Juice,7,1
1135,7,4,9,7,185,Brown Bread,Bakery,Bread,3,0
1340,5,6,16,14,295,Banana,Produce,Fresh Fruits,8,0
1347,44,5,8,10,141,Eggs,Dairy,Eggs,3,0
1018,18,0,15,7,129,Whole Milk,Dairy,Milk,7,1
1886,100,4,17,22,252,Pasta,Pantry,Dry Goods,4,0
1407,25,0,11,15,101,Organic Avocado,Produce,Fresh Fruits,10,0
1904,146,6,10,3,215,Potato Chips,Snacks,Chips,4,0
1987,98,4,2,13,290,Tomatoes,Produce,Vegetables,8,1
1091,11,0,13,2,279,Butter,Dairy,Butter,3,1
1928,13,1,5,16,298,Eggs,Dairy,Eggs,1,0
1300,104,2,2,16,164,Pasta,Pantry,Dry Goods,5,0
1266,110,1,8,22,202,Butter,Dairy,Butter,3,0
1421,62,5,11,11,228,Pasta,Pantry,Dry Goods,9,0
1077,116,6,18,20,119,Eggs,Dairy,Eggs,10,1
1501,34,3,4,24,232,Greek Yogurt,Dairy,Yogurt,1,0
1816,66,4,16,25,239,Onions,Produce,Vegetables,4,0
1102,43,0,13,7,179,Greek Yogurt,Dairy,Yogurt,9,1
1261,58,4,13,24,165,Greek Yogurt,Dairy,Yogurt,6,1
1183,124,5,18,6,300,Brown Bread,Bakery,Bread,3,1
1591,71,2,14,2,123,Onions,Produce,Vegetables,6,0
1330,92,2,9,18,144,Chicken Breast,Meat,Poultry,2,1
1706,3,5,10,30,300,Greek Yogurt,Dairy,Yogurt,4,1
1324,141,6,13,26,236,Brown Bread,Bakery,Bread,5,0
1739,98,2,9,15,147,Apples,Produce,Fresh Fruits,1,1
1535,74,1,17,25,259,Onions,Produce,Vegetables,8,1
1988,144,4,6,10,218,Potato Chips,Snacks,Chips,3,0
1169,75,2,7,17,148,Onions,Produce,Vegetables,3,0
1295,126,1,14,30,245,Orange Juice,Beverages,Juice,6,0
1679,114,5,22,3,272,Tomatoes,Produce,Vegetables,1,0
1538,104,6,11,23,220,Apples,Produce,Fresh Fruits,3,0
1506,85,1,18,19,174,Greek Yogurt,Dairy,Yogurt,3,1
1888,29,3,7,25,146,Brown Bread,Bakery,Bread,2,1
1211,16,2,15,24,245,Potato Chips,Snacks,Chips,2,0
1752,29,2,9,19,207,Greek Yogurt,Dairy,Yogurt,2,1
1945,68,4,6,1,120,Greek Yogurt,Dairy,Yogurt,6,1
1290,125,5,16,6,114,Eggs,Dairy,Eggs,1,1
1193,15,6,6,9,277,Eggs,Dairy,Eggs,1,0
1714,38,3,1,6,154,Brown Bread,Bakery,Bread,2,1
1881,32,5,6,17,123,Cheddar Cheese,Dairy,Cheese,5,1
1153,110,6,15,3,244,Tomatoes,Produce,Vegetables,9,0
1355,74,1,18,3,119,Butter,Dairy,Butter,10,1
1126,73,1,1,29,137,Orange Juice,Beverages,Juice,6,0
1775,136,4,5,11,196,Eggs,Dairy,Eggs,7,0
1380,14,0,19,18,150,Butter,Dairy,Butter,3,1
1095,20,0,9,18,125,Potato Chips,Snacks,Chips,8,1
1176,93,2,21,20,116,Banana,Produce,Fresh Fruits,8,0
1762,62,6,14,1,225,Organic Avocado,Produce,Fresh Fruits,10,1
1023,31,2,17,19,227,Butter,Dairy,Butter,8,1
1274,138,1,0,17,165,Whole Milk,Dairy,Milk,10,1
1960,71,6,22,23,157,Potato Chips,Snacks,Chips,5,1
1657,148,6,9,24,292,Whole Milk,Dairy,Milk,4,1
1035,27,5,5,13,279,Apples,Produce,Fresh Fruits,5,0
1837,140,2,13,7,131,Brown Bread,Bakery,Bread,10,1
1179,76,2,13,2,249,Organic Avocado,Produce,Fresh Fruits,1,0
1007,93,0,8,18,183,Whole Milk,Dairy,Milk,6,0
1682,4,6,22,20,157,Potato Chips,Snacks,Chips,1,0
1191,34,1,13,20,130,Greek Yogurt,Dairy,Yogurt,4,0
1678,102,6,0,6,285,Banana,Produce,Fresh Fruits,6,0
1835,100,1,19,6,240,Brown Bread,Bakery,Bread,3,1
1216,113,0,8,17,205,Banana,Produce,Fresh Fruits,3,1
1801,54,3,8,21,167,Orange Juice,Beverages,Juice,1,0
1043,98,0,21,20,294,Potato Chips,Snacks,Chips,1,1
1887,126,2,23,20,265,Whole Milk,Dairy,Milk,9,1
1626,131,1,16,22,242,Tomatoes,Produce,Vegetables,8,1
1149,54,2,7,9,246,Chicken Breast,Meat,Poultry,8,1
1269,107,5,2,7,171,Tomatoes,Produce,Vegetables,3,0
1335,99,4,3,28,189,Whole Milk,Dairy,Milk,10,1
1175,85,5,22,2,286,Whole Milk,Dairy,Milk,4,0
1250,84,1,7,14,188,Cheddar Cheese,Dairy,Cheese,5,0
1256,74,0,2,19,117,Pasta,Pantry,Dry Goods,5,0
1486,120,1,0,13,132,Eggs,Dairy,Eggs,2,1
1626,18,4,7,28,144,Tomatoes,Produce,Vegetables,10,1
1168,19,3,10,20,263,Organic Avocado,Produce,Fresh Fruits,8,1
1663,110,6,12,4,269,Eggs,Dairy,Eggs,5,1
1726,59,2,12,17,218,Eggs,Dairy,Eggs,8,0
1424,108,5,21,11,300,Chicken Breast,Meat,Poultry,5,0
1140,128,6,15,22,143,Organic Avocado,Produce,Fresh Fruits,3,1
1260,41,4,10,2,134,Onions,Produce,Vegetables,1,0
1488,33,5,12,26,219,Chicken Breast,Meat,Poultry,10,1
1512,82,4,23,18,139,Tomatoes,Produce,Vegetables,2,1
1945,17,5,19,12,248,Onions,Produce,Vegetables,6,1
1921,143,5,19,24,241,Apples,Produce,Fresh Fruits,5,0
1444,8,6,21,14,219,Onions,Produce,Vegetables,3,1
1947,36,6,12,6,198,Whole Milk,Dairy,Milk,4,1
1038,81,2,14,2,143,Tomatoes,Produce,Vegetables,2,0
1133,133,3,0,3,229,Banana,Produce,Fresh Fruits,3,0
1587,136,0,1,15,133,Organic Avocado,Produce,Fresh Fruits,7,0
1310,95,2,20,12,141,Orange Juice,Beverages,Juice,9,1
1257,3,2,15,8,173,Pasta,Pantry,Dry Goods,4,0
1302,30,4,21,29,250,Eggs,Dairy,Eggs,10,0
1759,133,6,20,11,270,Pasta,Pantry,Dry Goods,3,0
1857,17,6,0,13,257,Whole Milk,Dairy,Milk,3,0
1865,138,5,6,2,176,Brown Bread,Bakery,Bread,2,0
1460,108,4,10,17,215,Apples,Produce,Fresh Fruits,5,1
1387,5,1,21,22,213,Cheddar Cheese,Dairy,Cheese,3,0
1560,64,2,13,5,273,Apples,Produce,Fresh Fruits,2,1
1663,124,5,22,12,152,Apples,Produce,Fresh Fruits,3,0
1408,38,6,4,16,224,Apples,Produce,Fresh Fruits,7,0
1080,14,2,7,13,171,Greek Yogurt,Dairy,Yogurt,2,0
1380,92,0,16,17,143,Eggs,Dairy,Eggs,5,1
1166,46,1,18,8,174,Cheddar Cheese,Dairy,Cheese,6,1
1884,83,2,19,18,255,Orange Juice,Beverages,Juice,10,1
1066,12,3,22,21,157,Eggs,Dairy,Eggs,3,1
1431,59,5,9,23,105,Tomatoes,Produce,Vegetables,2,0
1726,123,6,10,20,269,Chicken Breast,Meat,Poultry,2,0
1664,57,5,5,24,250,Butter,Dairy,Butter,10,1
1343,138,5,19,1,170,Orange Juice,Beverages,Juice,6,0
1401,103,0,19,14,293,Apples,Produce,Fresh Fruits,3,0
1297,32,1,11,23,230,Greek Yogurt,Dairy,Yogurt,3,1
1652,1,3,9,13,287,Butter,Dairy,Butter,7,1
1554,106,5,17,1,273,Greek Yogurt,Dairy,Yogurt,3,1
1226,32,3,14,28,140,Eggs,Dairy,Eggs,8,1
1270,79,6,13,19,154,Pasta,Pantry,Dry Goods,4,0
1890,129,6,20,9,278,Pasta,Pantry,Dry Goods,7,1
1088,21,6,5,9,255,Greek Yogurt,Dairy,Yogurt,7,0
1952,133,0,3,11,139,Chicken Breast,Meat,Poultry,10,0
1306,19,0,13,19,294,Pasta,Pantry,Dry Goods,5,1
1859,10,3,4,7,271,Banana,Produce,Fresh Fruits,5,1
1690,49,2,3,13,133,Chicken Breast,Meat,Poultry,1,0
1628,40,0,18,11,191,Pasta,Pantry,Dry Goods,10,1
1406,85,2,1,17,122,Pasta,Pantry,Dry Goods,7,0
1510,4,4,7,13,217,Banana,Produce,Fresh Fruits,9,1
1515,70,4,6,20,136,Eggs,Dairy,Eggs,4,1
1596,58,5,7,29,212,Orange Juice,Beverages,Juice,10,0
1471,33,3,23,29,184,Cheddar Cheese,Dairy,Cheese,1,1
1407,107,1,15,26,145,Eggs,Dairy,Eggs,1,0
1166,71,4,11,27,100,Butter,Dairy,Butter,8,1
1388,97,2,7,5,197,Brown Bread,Bakery,Bread,7,1
1924,124,3,3,18,216,Chicken Breast,Meat,Poultry,2,1
1478,142,6,1,30,266,Brown Bread,Bakery,Bread,8,0
1811,35,6,17,25,217,Greek Yogurt,Dairy,Yogurt,2,0
1143,7,4,2,12,246,Pasta,Pantry,Dry Goods,6,0
1218,81,5,20,13,292,Apples,Produce,Fresh Fruits,5,1
1811,129,3,21,15,240,Tomatoes,Produce,Vegetables,4,0
1011,42,5,20,13,210,Potato Chips,Snacks,Chips,3,0
